"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XEQPZ6MT","book","2002","Mitnick, Kevin; Simon, William L.","The art of deception: controlling the human element of security","","978-0-471-23712-9 978-0-7645-4280-0","","","","","2002","2025-03-21 18:54:14","2025-03-21 19:04:56","","","352","","","","","The art of deception","","","","","Wiley","Indianapolis, Ind","","","","","","Library Catalog (Blacklight)","","OCLC: 50797873","","","https://catalog.libraries.psu.edu/catalog/2347009","physical","Computer security; Internal security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2G3JU9EI","book","2005","Mitnick, Kevin; Simon, William L.","The art of intrusion: the real stories behind the exploits of hackers, intruders & deceivers","","978-0-7645-6959-3","","","","","2005","2025-03-21 18:55:46","2025-03-21 19:04:49","","","270","","","","","The art of intrusion","","","","","Wiley Pub","Indianapolis, IN","","","","","","Library Catalog (Blacklight)","QA76.9.A25 M587 2005","OCLC: 56876941","","","https://catalog.libraries.psu.edu/catalog/2799825","physical","Computer security; Hackers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQ2KGE46","book","2000","Schneier, Bruce","Secrets and lies: digital security in a networked world","","978-0-471-25311-2","","","","","2000","2025-03-21 18:57:47","2025-03-21 19:05:03","","","412","","","","","Secrets and lies","","","","","John Wiley","New York","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/2099987","physical","Computer security; Computer networks; Security measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYP6A96G","book","1994","Kane, Pamela","PC security and virus protection: the ongoing war against information sabotage","","978-1-55851-390-7","","","","","1994","2025-03-21 18:58:24","2025-03-21 19:05:09","","","523","","","","","PC security and virus protection","","","","","M&T Books","New York","","","","","","Library Catalog (Blacklight)","QA76.9.A25 K34 1994","","","","https://catalog.libraries.psu.edu/catalog/1788092","physical","Access control; Computer viruses; Microcomputers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAG78KW6","book","2001","","Know your enemy: revealing the security tools, tactics, and motives of the blackhat community","","978-0-201-74613-6","","","","","2001","2025-03-21 18:59:32","2025-03-21 19:05:21","","","328","","","","","Know your enemy","","","","","Addison-Wesley","Boston, MA","","","","","","Library Catalog (Blacklight)","QA76.9.A25 K625 2001","OCLC: 47140918","","","https://catalog.libraries.psu.edu/catalog/2258644","physical","Computer security; Computer networks; Security measures","Honeynet Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4LU6725","book","1999","","Lectures on data security: modern cryptology in theory and practice","","978-3-540-65757-6","","","","","1999","2025-03-21 19:02:44","2025-03-21 19:05:14","","","250","","","","","Lectures on data security","Lecture notes in computer science","1561","","","Springer","Berlin ; New York","","","","","","Library Catalog (Blacklight)","QA76.9.A25 L46 1999","","","","https://catalog.libraries.psu.edu/catalog/1951431","physical","Computer security; Cryptography","Damgård, I. B.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIA5VKJE","book","2002","Nichols, Randall K.; Lekkas, Panos C.","Wireless security: models, threats, and solutions","","978-0-07-138038-6","","","","","2002","2025-03-21 19:21:43","2025-03-21 19:21:55","","","657","","","","","Wireless security","McGraw-Hill telecom professional","","","","McGraw-Hill","New York ; London","","","","","","Library Catalog (Blacklight)","QA76.9.A25 N52 2001","OCLC: 47938816","","","https://catalog.libraries.psu.edu/catalog/2295351","physical","Computer security; Security measures; Wireless communication systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCYHFZEB","book","2000","Oppliger, Rolf","Security technologies for the World Wide Web","","978-1-58053-045-3","","","","","2000","2025-03-21 19:22:30","2025-03-21 19:22:43","","","419","","","","","","Artech House computer security series","","","","Artech House","Boston","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/2124534","physical","Computer security; Security measures; World Wide Web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEQCFFMN","book","2010","Salomon, Daṿid","Elements of computer security","","978-0-85729-005-2","","","","","2010","2025-03-21 19:23:45","2025-03-21 19:24:00","","","374","","","","","","Undergraduate topics in computer science","","","","Springer-Verlag","New York","","","","","","Library Catalog (Blacklight)","QA76.9.A25 .S35 2010","OCLC: 648933511","","","https://catalog.libraries.psu.edu/catalog/6519138","physical","Computer security; Computer networks; Security measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4I8JQKX","book","1994","Schwartau, Winn","Information warfare: chaos on the electronic superhighway","","978-1-56025-080-7","","","","","1994","2025-03-21 19:25:08","2025-03-21 19:25:18","","","432","","","","","Information warfare","","","","","Thunder's Mouth Press","New York","","","","","","Library Catalog (Blacklight)","QA76.9.A25 S354 1994","","","","https://catalog.libraries.psu.edu/catalog/1622830","physical","Computer security; Computer crimes","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
